count;region;electorate;valid_votes;remain;leave;pct_crimes;pct_voted;pct_remain;pct_leave
2360889;South East;6465404;4959683;2391718;2567965;0,36515722760712244;0,7671110730280737;0,48223202974867546;0,5177679702513245
3020527;London;5424768;3776751;2263519;1513232;0,5568029821736156;0,6962050727330643;0,5993296884014858;0,4006703115985142
2628648;North West;5241568;3665945;1699020;1966925;0,5015003144097339;0,6993985387578678;0,46346030832432017;0,5365396916756798
1715276;East of England;4398796;3328983;1448616;1880367;0,389942156899297;0,756794131848806;0,4351527178120165;0,5648472821879835
1405187;South West;4138134;3172730;1503019;1669711;0,3395702024149049;0,7667054764297144;0,47373050968724095;0,526269490312759
1692041;West Midlands;4116572;2962862;1207175;1755687;0,411031557324881;0,7197401138617276;0,40743544586281777;0,5925645541371822
1985433;Yorkshire and The Humber;3877780;2739235;1158298;1580937;0,5120024859584608;0,7063925751331948;0,4228545561078184;0,5771454438921816
1353574;East Midlands;3384299;2508515;1033036;1475479;0,39995697779658357;0,7412214464502103;0,4118117691143964;0,5881882308856037
907899;Wales;2270272;1626919;772347;854572;0,3999075881656471;0,7166185373382573;0,4747298421126067;0,5252701578873933
1106481;North East;1934341;1340698;562595;778103;0,5720196180507987;0,6931032325737809;0,41962843235389324;0,5803715676461068
