"Month","Count"
"2015-10",339717
"2015-11",333008
"2015-12",326317
"2016-01",319300
"2016-02",314467
"2016-03",335824
"2016-04",329623
"2016-05",352375
"2016-06",345335
"2016-07",361013
"2016-08",359231
"2016-09",360777
"2016-10",377419
"2016-11",364911
"2016-12",364148
"2017-01",361012
"2017-02",350387
"2017-03",405441
"2017-04",385274
"2017-05",415323
"2017-06",413351
"2017-07",431944
"2017-08",418848
"2017-09",403219
"2017-10",434908
"2017-11",421700
"2017-12",388773
"2018-01",405298
"2018-02",371384
"2018-03",413136
"2018-04",419063
"2018-05",448310
"2018-06",446967
"2018-07",469534
"2018-08",442650
"2018-09",347301
