lat,lng,resolved
50.81816,-0.370717,1
52.964165,-1.166785,1
50.588448,-1.282956,1
53.72425,-1.264535,1
52.985054,-1.184735,1
52.406155,-2.002146,1
53.439384,-2.877283,1
51.894928,-0.496291,1
50.839,-0.757594,1
52.997852,-0.047987,1
51.53166,0.066242,1
51.62033,-3.949199,1
51.908752,-0.210666,1
50.948414,-2.647544,0
52.462605,-1.869434,1
51.88994,0.261741,1
51.43923,0.209687,1
51.066338,1.077173,1
53.458546,-2.18656,1
54.680565,-1.435366,1
50.820885,-1.088517,1
51.626305,-0.393625,0
51.42186,-0.141276,1
51.09176,1.16669,1
53.59914,-2.546628,1
51.654594,-0.410725,1
53.446365,-2.968535,1
51.511806,0.058354,0
51.643894,-0.398279,1
51.640354,-2.677139,1
51.569393,-0.026261,0
51.77496,1.102438,1
52.83767,-1.17565,1
50.855087,0.57798,1
53.446598,-2.979637,1
53.714268,-1.866037,1
50.8442,-3.610839,0
51.544186,-0.163639,0
51.92366,-0.183532,1
51.815784,-0.017167,1
51.47016,-0.086054,1
51.880627,0.911696,1
51.72,-0.424864,1
53.719376,-1.164165,1
51.53684,0.716314,1
52.909412,-0.645154,1
51.88994,0.261741,1
51.88994,0.261741,1
50.807983,-1.087661,1
51.88994,0.261741,1
51.52363,-0.176849,1
51.420273,-0.203344,1
52.037247,-0.750258,1
52.455303,-2.089134,1
51.745476,-0.225961,1
52.342636,-0.175701,1
52.5315,-2.048735,1
51.471996,-0.129001,1
51.88994,0.261741,1
51.786762,1.150947,1
51.674488,-0.38738,1
52.59131,1.732558,0
53.308884,-3.526161,1
54.54148,-6.0416,0
53.91308,-1.137239,1
51.802208,-0.205344,1
52.23692,-0.89832,1
52.47829,-2.121087,1
52.226475,1.434845,1
52.83495,-1.170862,1
51.53375,0.080857,1
51.746273,-0.238373,1
51.774406,-0.456265,1
53.397617,-1.517406,1
51.587902,-0.006678,1
51.580536,-0.336902,1
52.593315,-0.231744,1
51.436565,-0.976937,0
