month,count,region,region_code
2017-01,79506,London,E12000007
2017-01,67788,North West,E12000002
2017-01,60790,South East,E12000008
2017-01,53003,Yorkshire and The Humber,E12000003
2017-01,43776,East of England,E12000006
2017-01,43664,West Midlands,E12000005
2017-01,35333,South West,E12000009
2017-01,34131,East Midlands,E12000004
2017-01,28093,North East,E12000001
2017-01,22650,Wales,W92000004
2017-02,76670,London,E12000007
2017-02,66814,North West,E12000002
2017-02,59132,South East,E12000008
2017-02,50935,Yorkshire and The Humber,E12000003
2017-02,43061,East of England,E12000006
2017-02,41766,West Midlands,E12000005
2017-02,35088,South West,E12000009
2017-02,33526,East Midlands,E12000004
2017-02,27178,North East,E12000001
2017-02,22424,Wales,W92000004
2017-03,90582,London,E12000007
2017-03,77670,North West,E12000002
2017-03,70278,South East,E12000008
2017-03,57651,Yorkshire and The Humber,E12000003
2017-03,50969,East of England,E12000006
2017-03,48770,West Midlands,E12000005
2017-03,41223,South West,E12000009
2017-03,38835,East Midlands,E12000004
2017-03,32742,North East,E12000001
2017-03,25816,Wales,W92000004
2017-04,83808,London,E12000007
2017-04,78192,North West,E12000002
2017-04,69082,South East,E12000008
2017-04,56117,Yorkshire and The Humber,E12000003
2017-04,49597,East of England,E12000006
2017-04,48260,West Midlands,E12000005
2017-04,40953,South West,E12000009
2017-04,37812,East Midlands,E12000004
2017-04,32208,North East,E12000001
2017-04,26628,Wales,W92000004
2017-05,92272,London,E12000007
2017-05,80742,North West,E12000002
2017-05,73034,South East,E12000008
2017-05,57710,Yorkshire and The Humber,E12000003
2017-05,52063,East of England,E12000006
2017-05,51964,West Midlands,E12000005
2017-05,42997,South West,E12000009
2017-05,41519,East Midlands,E12000004
2017-05,33784,North East,E12000001
2017-05,27932,Wales,W92000004
2017-06,90385,London,E12000007
2017-06,79725,North West,E12000002
2017-06,76308,South East,E12000008
2017-06,57062,Yorkshire and The Humber,E12000003
2017-06,52875,East of England,E12000006
2017-06,50554,West Midlands,E12000005
2017-06,43918,South West,E12000009
2017-06,40166,East Midlands,E12000004
2017-06,32737,North East,E12000001
2017-06,27310,Wales,W92000004
2017-07,97562,London,E12000007
2017-07,82915,North West,E12000002
2017-07,77756,South East,E12000008
2017-07,59444,Yorkshire and The Humber,E12000003
2017-07,55059,East of England,E12000006
2017-07,53247,West Midlands,E12000005
2017-07,45781,South West,E12000009
2017-07,42361,East Midlands,E12000004
2017-07,34562,North East,E12000001
2017-07,28687,Wales,W92000004
2017-08,93187,London,E12000007
2017-08,80444,North West,E12000002
2017-08,75543,South East,E12000008
2017-08,59377,Yorkshire and The Humber,E12000003
2017-08,52611,West Midlands,E12000005
2017-08,51138,East of England,E12000006
2017-08,44734,South West,E12000009
2017-08,40237,East Midlands,E12000004
2017-08,35641,North East,E12000001
2017-08,28030,Wales,W92000004
2017-09,87429,London,E12000007
2017-09,74894,North West,E12000002
2017-09,68515,South East,E12000008
2017-09,56345,Yorkshire and The Humber,E12000003
2017-09,49382,East of England,E12000006
2017-09,48215,West Midlands,E12000005
2017-09,40601,South West,E12000009
2017-09,38005,East Midlands,E12000004
2017-09,32883,North East,E12000001
2017-09,25333,Wales,W92000004
2017-10,94376,London,E12000007
2017-10,82829,North West,E12000002
2017-10,75558,South East,E12000008
2017-10,61508,Yorkshire and The Humber,E12000003
2017-10,52959,East of England,E12000006
2017-10,51973,West Midlands,E12000005
2017-10,43033,South West,E12000009
2017-10,41846,East Midlands,E12000004
2017-10,36131,North East,E12000001
2017-10,27751,Wales,W92000004
2017-11,89568,London,E12000007
2017-11,77799,North West,E12000002
2017-11,68482,South East,E12000008
2017-11,57270,Yorkshire and The Humber,E12000003
2017-11,49516,West Midlands,E12000005
2017-11,48684,East of England,E12000006
2017-11,39129,South West,E12000009
2017-11,38058,East Midlands,E12000004
2017-11,32412,North East,E12000001
2017-11,26066,Wales,W92000004
2017-12,82255,London,E12000007
2017-12,71222,North West,E12000002
2017-12,62074,South East,E12000008
2017-12,52488,Yorkshire and The Humber,E12000003
2017-12,44515,East of England,E12000006
2017-12,44313,West Midlands,E12000005
2017-12,36153,South West,E12000009
2017-12,35818,East Midlands,E12000004
2017-12,30332,North East,E12000001
2017-12,24152,Wales,W92000004
